Location,Product Name,Purchase History,Payment Method,Search Query,Survey Response,Device Type,Browser Type,Operating System,IP Address,Referral Source,Net Profit,Operating Expenses,Revenue Trend,Expense Breakdown,Gross vs Net Profit,Region-wise Revenue Contribution,Previous Category,Labor Cost,Raw Material Cost,Shipping Cost,Income Group,First Interaction Date,Awareness Stage,Consideration Stage,Intent Stage,Out of Stock Occurrences,Last Purchase Date,Product Price,#Fraud Flag,Average Resolution Time,Average Response Time,Ticket Resolution Time,Order Shipment Time,Placement Time,Delivery Time,Payment & Transaction Failures,Reasons for Payment Failure,source,Retailer_Name,Category,Seasonal_Trend,Stock_Availability,Shelf_Space_Allocation,Repeat_Purchase_Rate,Basket_Size,Cross_Purchased_Products,Brand_Substitution_Rate,Category_Share_in_Retailer_Sales,Competitor_Promotion_Impact,Retail_Foot_Traffic,Customer Segment,In_Store_Advertising_Effectiveness,Customer Segment Type,Region,Order_ID,Purchase_Frequency,Product_Views,Delivery_Location_City,Delivery_Location_Country,Shipping_Method,Return_Refund_Rate,Product_Bundling_Preferences,Discounted,Return_Rate,Channel,Churn_Risk
Toronto,Generic Product,Beauty,UPI,Snacks,Negative,Mobile,Safari,MacOS,0.197.144.161,Email,-26.28567535414296,100.0,86.95252370147568,3.949222109095413,50.0,15.809549763904666,Beauty,274.78623657940364,554.5922454579821,54.92351542889382,High,2023-04-09,2,2,2,1,2023-12-17,149.402795,0,00:01:33,00:00:45,00:01:29,00:03:57,00:01:26,00:05:26,No,Credit card expired,Retail Data,Generic Retailer,Chocolate,Medium,Out of Stock,4,0.17,7,Snacks,0.8,24.75,Medium,3228,Families,Medium,Returning,South,ORD10000,5,50,Mumbai,Australia,Standard,0.5152899999999999,Candy & Gum,True,15.66809,Web,Low
Toronto,Generic Product,Beauty,UPI,Snacks,Negative,Desktop,Safari,MacOS,0.197.144.161,Email,-26.28567535414296,100.0,86.95252370147568,3.949222109095413,50.0,15.809549763904666,Beauty,274.78623657940364,554.5922454579821,54.92351542889382,High,2023-04-09,2,2,2,1,2023-11-03,149.402795,0,00:01:33,00:00:45,00:01:29,00:03:57,00:01:26,00:05:26,No,Credit card expired,Retail Data,Generic Retailer,Snacks,Medium,In Stock,3,0.14,9,Dairy,0.73,39.7,High,2925,Families,Medium,Returning,South,ORD10000,5,50,Mumbai,Australia,Standard,0.5152899999999999,Candy & Gum,True,15.66809,Web,Low
Toronto,Generic Product,Beauty,UPI,Snacks,Negative,Mobile,Safari,MacOS,0.197.144.161,Email,-26.28567535414296,100.0,86.95252370147568,3.949222109095413,50.0,15.809549763904666,Beauty,274.78623657940364,554.5922454579821,54.92351542889382,High,2023-04-09,2,2,2,1,2023-01-21,149.402795,0,00:01:33,00:00:45,00:01:29,00:03:57,00:01:26,00:05:26,No,Credit card expired,Retail Data,Generic Retailer,Candy,High,In Stock,1,0.34,1,Soft Drinks,0.01,15.89,Low,2790,Young Adults,Medium,Returning,North,ORD10000,5,50,Mumbai,Australia,Standard,0.5152899999999999,Candy & Gum,True,15.66809,Web,Low
Toronto,Generic Product,Beauty,UPI,Snacks,Negative,Mobile,Safari,MacOS,0.197.144.161,Email,-26.28567535414296,100.0,86.95252370147568,3.949222109095413,50.0,15.809549763904666,Beauty,274.78623657940364,554.5922454579821,54.92351542889382,High,2023-04-09,2,2,2,1,2023-05-03,149.402795,0,00:01:33,00:00:45,00:01:29,00:03:57,00:01:26,00:05:26,No,Credit card expired,Retail Data,Generic Retailer,Candy,High,In Stock,9,0.28,2,Snacks,0.54,23.03,High,3353,Mixed,High,New,East,ORD10000,5,50,Mumbai,Australia,Standard,0.5152899999999999,Candy & Gum,True,15.66809,Web,Low
Toronto,Generic Product,Beauty,UPI,Snacks,Negative,Desktop,Safari,MacOS,0.197.144.161,Email,-26.28567535414296,100.0,86.95252370147568,3.949222109095413,50.0,15.809549763904666,Beauty,274.78623657940364,554.5922454579821,54.92351542889382,High,2023-04-09,2,2,2,1,2023-01-12,149.402795,0,00:01:33,00:00:45,00:01:29,00:03:57,00:01:26,00:05:26,No,Credit card expired,Retail Data,Generic Retailer,Gum,Medium,In Stock,8,0.56,7,Soft Drinks,0.38,32.61,High,1299,Young Adults,Low,Loyal,East,ORD10000,5,50,Mumbai,Australia,Standard,0.5152899999999999,Candy & Gum,True,15.66809,Web,Low
Toronto,Generic Product,Beauty,UPI,Snacks,Negative,Mobile,Safari,MacOS,0.197.144.161,Email,-26.28567535414296,100.0,86.95252370147568,3.949222109095413,50.0,15.809549763904666,Beauty,274.78623657940364,554.5922454579821,54.92351542889382,High,2023-04-09,2,2,2,1,2023-04-27,149.402795,0,00:01:33,00:00:45,00:01:29,00:03:57,00:01:26,00:05:26,No,Credit card expired,Retail Data,Generic Retailer,Gum,Medium,In Stock,10,0.72,7,Bread,0.21,45.31,Medium,3314,Seniors,High,New,North,ORD10000,5,50,Mumbai,Australia,Standard,0.5152899999999999,Candy & Gum,True,15.66809,Web,Low
Toronto,Generic Product,Beauty,UPI,Snacks,Negative,Desktop,Safari,MacOS,0.197.144.161,Email,-26.28567535414296,100.0,86.95252370147568,3.949222109095413,50.0,15.809549763904666,Beauty,274.78623657940364,554.5922454579821,54.92351542889382,High,2023-04-09,2,2,2,1,2023-09-24,149.402795,0,00:01:33,00:00:45,00:01:29,00:03:57,00:01:26,00:05:26,No,Credit card expired,Retail Data,Generic Retailer,Biscuits,Medium,In Stock,5,0.38,3,Bread,0.76,35.45,High,4152,Families,Low,Returning,North,ORD10000,5,50,Mumbai,Australia,Standard,0.5152899999999999,Candy & Gum,True,15.66809,Web,Low
Toronto,Generic Product,Beauty,UPI,Snacks,Negative,Mobile,Safari,MacOS,0.197.144.161,Email,-26.28567535414296,100.0,86.95252370147568,3.949222109095413,50.0,15.809549763904666,Beauty,274.78623657940364,554.5922454579821,54.92351542889382,High,2023-04-09,2,2,2,1,2023-07-22,149.402795,0,00:01:33,00:00:45,00:01:29,00:03:57,00:01:26,00:05:26,No,Credit card expired,Retail Data,Generic Retailer,Beverages,High,In Stock,3,0.5,8,Bread,0.97,5.63,Medium,1880,Young Adults,Low,Loyal,East,ORD10000,5,50,Mumbai,Australia,Standard,0.5152899999999999,Candy & Gum,True,15.66809,Web,Low
Toronto,Generic Product,Beauty,UPI,Snacks,Negative,Desktop,Safari,MacOS,0.197.144.161,Email,-26.28567535414296,100.0,86.95252370147568,3.949222109095413,50.0,15.809549763904666,Beauty,274.78623657940364,554.5922454579821,54.92351542889382,High,2023-04-09,2,2,2,1,2023-04-28,149.402795,0,00:01:33,00:00:45,00:01:29,00:03:57,00:01:26,00:05:26,No,Credit card expired,Retail Data,Generic Retailer,Snacks,High,In Stock,10,0.98,4,Bread,0.76,32.68,Medium,3862,Mixed,Low,Returning,North,ORD10000,5,50,Mumbai,Australia,Standard,0.5152899999999999,Candy & Gum,True,15.66809,Web,Low
Toronto,Generic Product,Beauty,UPI,Snacks,Negative,Mobile,Safari,MacOS,0.197.144.161,Email,-26.28567535414296,100.0,86.95252370147568,3.949222109095413,50.0,15.809549763904666,Beauty,274.78623657940364,554.5922454579821,54.92351542889382,High,2023-04-09,2,2,2,1,2023-02-08,149.402795,0,00:01:33,00:00:45,00:01:29,00:03:57,00:01:26,00:05:26,No,Credit card expired,Retail Data,Generic Retailer,Biscuits,Medium,In Stock,5,0.96,3,Snacks,0.33,38.23,High,2780,Seniors,Medium,New,North,ORD10000,5,50,Mumbai,Australia,Standard,0.5152899999999999,Candy & Gum,True,15.66809,Web,Low
Toronto,Generic Product,Beauty,UPI,Snacks,Negative,Tablet,Safari,MacOS,0.197.144.161,Email,-26.28567535414296,100.0,86.95252370147568,3.949222109095413,50.0,15.809549763904666,Beauty,274.78623657940364,554.5922454579821,54.92351542889382,High,2023-04-09,2,2,2,1,2023-01-23,149.402795,0,00:01:33,00:00:45,00:01:29,00:03:57,00:01:26,00:05:26,No,Credit card expired,Retail Data,Generic Retailer,Chocolate,Medium,In Stock,2,0.75,1,Dairy,0.36,20.34,Medium,2674,Families,High,New,South,ORD10000,5,50,Mumbai,Australia,Standard,0.5152899999999999,Candy & Gum,True,15.66809,Web,Low
Toronto,Generic Product,Beauty,UPI,Snacks,Negative,Mobile,Safari,MacOS,0.197.144.161,Email,-26.28567535414296,100.0,86.95252370147568,3.949222109095413,50.0,15.809549763904666,Beauty,274.78623657940364,554.5922454579821,54.92351542889382,High,2023-04-09,2,2,2,1,2023-12-27,149.402795,0,00:01:33,00:00:45,00:01:29,00:03:57,00:01:26,00:05:26,No,Credit card expired,Retail Data,Generic Retailer,Beverages,Low,In Stock,7,0.44,6,Bread,0.79,17.12,Low,1051,Families,Medium,Returning,North,ORD10000,5,50,Mumbai,Australia,Standard,0.5152899999999999,Candy & Gum,True,15.66809,Web,Low
Toronto,Generic Product,Beauty,UPI,Snacks,Negative,Desktop,Safari,MacOS,0.197.144.161,Email,-26.28567535414296,100.0,86.95252370147568,3.949222109095413,50.0,15.809549763904666,Beauty,274.78623657940364,554.5922454579821,54.92351542889382,High,2023-04-09,2,2,2,1,2023-02-28,149.402795,0,00:01:33,00:00:45,00:01:29,00:03:57,00:01:26,00:05:26,No,Credit card expired,Retail Data,Generic Retailer,Biscuits,Medium,In Stock,8,0.52,2,Soft Drinks,0.94,18.5,Medium,4684,Mixed,Medium,New,North,ORD10000,5,50,Mumbai,Australia,Standard,0.5152899999999999,Candy & Gum,True,15.66809,Web,Low
Toronto,Generic Product,Beauty,UPI,Snacks,Negative,Mobile,Safari,MacOS,0.197.144.161,Email,-26.28567535414296,100.0,86.95252370147568,3.949222109095413,50.0,15.809549763904666,Beauty,274.78623657940364,554.5922454579821,54.92351542889382,High,2023-04-09,2,2,2,1,2023-04-14,149.402795,0,00:01:33,00:00:45,00:01:29,00:03:57,00:01:26,00:05:26,No,Credit card expired,Retail Data,Generic Retailer,Chocolate,Medium,In Stock,9,0.67,6,Dairy,0.92,38.28,High,2296,Families,Medium,Returning,West,ORD10000,5,50,Mumbai,Australia,Standard,0.5152899999999999,Candy & Gum,True,15.66809,Web,Low
Toronto,Generic Product,Beauty,UPI,Snacks,Negative,Mobile,Safari,MacOS,0.197.144.161,Email,-26.28567535414296,100.0,86.95252370147568,3.949222109095413,50.0,15.809549763904666,Beauty,274.78623657940364,554.5922454579821,54.92351542889382,High,2023-04-09,2,2,2,1,2023-02-03,149.402795,0,00:01:33,00:00:45,00:01:29,00:03:57,00:01:26,00:05:26,No,Credit card expired,Retail Data,Generic Retailer,Beverages,Low,In Stock,4,0.96,9,Bread,0.3,35.56,High,614,Mixed,Medium,Returning,East,ORD10000,5,50,Mumbai,Australia,Standard,0.5152899999999999,Candy & Gum,True,15.66809,Web,Low
Toronto,Generic Product,Beauty,UPI,Snacks,Negative,Mobile,Safari,MacOS,0.197.144.161,Email,-26.28567535414296,100.0,86.95252370147568,3.949222109095413,50.0,15.809549763904666,Beauty,274.78623657940364,554.5922454579821,54.92351542889382,High,2023-04-09,2,2,2,1,2023-11-16,149.402795,0,00:01:33,00:00:45,00:01:29,00:03:57,00:01:26,00:05:26,No,Credit card expired,Retail Data,Generic Retailer,Biscuits,Medium,In Stock,3,0.58,4,Snacks,0.97,24.21,High,4126,Young Adults,Low,Loyal,West,ORD10000,5,50,Mumbai,Australia,Standard,0.5152899999999999,Candy & Gum,True,15.66809,Web,Low
Toronto,Generic Product,Beauty,UPI,Snacks,Negative,Tablet,Safari,MacOS,0.197.144.161,Email,-26.28567535414296,100.0,86.95252370147568,3.949222109095413,50.0,15.809549763904666,Beauty,274.78623657940364,554.5922454579821,54.92351542889382,High,2023-04-09,2,2,2,1,2023-06-03,149.402795,0,00:01:33,00:00:45,00:01:29,00:03:57,00:01:26,00:05:26,No,Credit card expired,Retail Data,Generic Retailer,Chocolate,Medium,Out of Stock,6,0.31,3,Bread,0.65,42.95,High,739,Mixed,Medium,New,North,ORD10000,5,50,Mumbai,Australia,Standard,0.5152899999999999,Candy & Gum,True,15.66809,Web,Low
Toronto,Generic Product,Beauty,UPI,Snacks,Negative,Mobile,Safari,MacOS,0.197.144.161,Email,-26.28567535414296,100.0,86.95252370147568,3.949222109095413,50.0,15.809549763904666,Beauty,274.78623657940364,554.5922454579821,54.92351542889382,High,2023-04-09,2,2,2,1,2023-05-01,149.402795,0,00:01:33,00:00:45,00:01:29,00:03:57,00:01:26,00:05:26,No,Credit card expired,Retail Data,Generic Retailer,Beverages,High,In Stock,10,1.0,4,Bread,0.5,20.03,Medium,2244,Mixed,Medium,Returning,North,ORD10000,5,50,Mumbai,Australia,Standard,0.5152899999999999,Candy & Gum,True,15.66809,Web,Low
Toronto,Generic Product,Beauty,UPI,Snacks,Negative,Mobile,Safari,MacOS,0.197.144.161,Email,-26.28567535414296,100.0,86.95252370147568,3.949222109095413,50.0,15.809549763904666,Beauty,274.78623657940364,554.5922454579821,54.92351542889382,High,2023-04-09,2,2,2,1,2023-06-11,149.402795,0,00:01:33,00:00:45,00:01:29,00:03:57,00:01:26,00:05:26,No,Credit card expired,Retail Data,Generic Retailer,Snacks,Medium,In Stock,2,0.84,3,Snacks,0.05,14.76,Low,2685,Families,Low,Returning,West,ORD10000,5,50,Mumbai,Australia,Standard,0.5152899999999999,Candy & Gum,True,15.66809,Web,Low
Toronto,Generic Product,Beauty,UPI,Snacks,Negative,Mobile,Safari,MacOS,0.197.144.161,Email,-26.28567535414296,100.0,86.95252370147568,3.949222109095413,50.0,15.809549763904666,Beauty,274.78623657940364,554.5922454579821,54.92351542889382,High,2023-04-09,2,2,2,1,2023-06-11,149.402795,0,00:01:33,00:00:45,00:01:29,00:03:57,00:01:26,00:05:26,No,Credit card expired,Retail Data,Generic Retailer,Beverages,High,In Stock,1,0.15,8,Soft Drinks,0.2,38.6,High,2556,Mixed,High,Returning,North,ORD10000,5,50,Mumbai,Australia,Standard,0.5152899999999999,Candy & Gum,True,15.66809,Web,Low
Toronto,Generic Product,Beauty,UPI,Snacks,Negative,Mobile,Safari,MacOS,0.197.144.161,Email,-26.28567535414296,100.0,86.95252370147568,3.949222109095413,50.0,15.809549763904666,Beauty,274.78623657940364,554.5922454579821,54.92351542889382,High,2023-04-09,2,2,2,1,2023-12-04,149.402795,0,00:01:33,00:00:45,00:01:29,00:03:57,00:01:26,00:05:26,No,Credit card expired,Retail Data,Generic Retailer,Gum,High,In Stock,6,0.3,6,Bread,0.79,49.06,Low,2538,Mixed,High,New,South,ORD10000,5,50,Mumbai,Australia,Standard,0.5152899999999999,Candy & Gum,True,15.66809,Web,Low
Toronto,Generic Product,Beauty,UPI,Snacks,Negative,Tablet,Safari,MacOS,0.197.144.161,Email,-26.28567535414296,100.0,86.95252370147568,3.949222109095413,50.0,15.809549763904666,Beauty,274.78623657940364,554.5922454579821,54.92351542889382,High,2023-04-09,2,2,2,1,2023-09-04,149.402795,0,00:01:33,00:00:45,00:01:29,00:03:57,00:01:26,00:05:26,No,Credit card expired,Retail Data,Generic Retailer,Beverages,Medium,In Stock,6,0.4,10,Dairy,0.37,22.52,Medium,2154,Seniors,Medium,Returning,West,ORD10000,5,50,Mumbai,Australia,Standard,0.5152899999999999,Candy & Gum,True,15.66809,Web,Low
Toronto,Generic Product,Beauty,UPI,Snacks,Negative,Mobile,Safari,MacOS,0.197.144.161,Email,-26.28567535414296,100.0,86.95252370147568,3.949222109095413,50.0,15.809549763904666,Beauty,274.78623657940364,554.5922454579821,54.92351542889382,High,2023-04-09,2,2,2,1,2023-05-19,149.402795,0,00:01:33,00:00:45,00:01:29,00:03:57,00:01:26,00:05:26,No,Credit card expired,Retail Data,Generic Retailer,Candy,Medium,In Stock,8,0.23,5,Bread,0.05,17.81,High,4735,Families,High,Returning,West,ORD10000,5,50,Mumbai,Australia,Standard,0.5152899999999999,Candy & Gum,True,15.66809,Web,Low
Toronto,Generic Product,Beauty,UPI,Snacks,Negative,Desktop,Safari,MacOS,0.197.144.161,Email,-26.28567535414296,100.0,86.95252370147568,3.949222109095413,50.0,15.809549763904666,Beauty,274.78623657940364,554.5922454579821,54.92351542889382,High,2023-04-09,2,2,2,1,2023-01-05,149.402795,0,00:01:33,00:00:45,00:01:29,00:03:57,00:01:26,00:05:26,No,Credit card expired,Retail Data,Generic Retailer,Gum,High,In Stock,1,0.28,9,Soft Drinks,0.53,21.79,High,1564,Seniors,High,New,East,ORD10000,5,50,Mumbai,Australia,Standard,0.5152899999999999,Candy & Gum,True,15.66809,Web,Low
Toronto,Generic Product,Beauty,UPI,Snacks,Negative,Mobile,Safari,MacOS,0.197.144.161,Email,-26.28567535414296,100.0,86.95252370147568,3.949222109095413,50.0,15.809549763904666,Beauty,274.78623657940364,554.5922454579821,54.92351542889382,High,2023-04-09,2,2,2,1,2023-06-09,149.402795,0,00:01:33,00:00:45,00:01:29,00:03:57,00:01:26,00:05:26,No,Credit card expired,Retail Data,Generic Retailer,Candy,Low,In Stock,3,0.7,2,Soft Drinks,0.33,12.47,Medium,2444,Young Adults,High,Loyal,West,ORD10000,5,50,Mumbai,Australia,Standard,0.5152899999999999,Candy & Gum,True,15.66809,Web,Low
Toronto,Generic Product,Beauty,UPI,Snacks,Negative,Mobile,Safari,MacOS,0.197.144.161,Email,-26.28567535414296,100.0,86.95252370147568,3.949222109095413,50.0,15.809549763904666,Beauty,274.78623657940364,554.5922454579821,54.92351542889382,High,2023-04-09,2,2,2,1,2023-04-28,149.402795,0,00:01:33,00:00:45,00:01:29,00:03:57,00:01:26,00:05:26,No,Credit card expired,Retail Data,Generic Retailer,Beverages,Medium,In Stock,10,0.72,1,Snacks,0.94,45.67,Low,2216,Seniors,High,Loyal,South,ORD10000,5,50,Mumbai,Australia,Standard,0.5152899999999999,Candy & Gum,True,15.66809,Web,Low
Toronto,Generic Product,Beauty,UPI,Snacks,Negative,Mobile,Safari,MacOS,0.197.144.161,Email,-26.28567535414296,100.0,86.95252370147568,3.949222109095413,50.0,15.809549763904666,Beauty,274.78623657940364,554.5922454579821,54.92351542889382,High,2023-04-09,2,2,2,1,2023-11-12,149.402795,0,00:01:33,00:00:45,00:01:29,00:03:57,00:01:26,00:05:26,No,Credit card expired,Retail Data,Generic Retailer,Snacks,High,In Stock,6,0.23,9,Soft Drinks,0.58,33.81,Medium,4480,Seniors,High,New,North,ORD10000,5,50,Mumbai,Australia,Standard,0.5152899999999999,Candy & Gum,True,15.66809,Web,Low
Toronto,Generic Product,Beauty,UPI,Snacks,Negative,Mobile,Safari,MacOS,0.197.144.161,Email,-26.28567535414296,100.0,86.95252370147568,3.949222109095413,50.0,15.809549763904666,Beauty,274.78623657940364,554.5922454579821,54.92351542889382,High,2023-04-09,2,2,2,1,2023-04-22,149.402795,0,00:01:33,00:00:45,00:01:29,00:03:57,00:01:26,00:05:26,No,Credit card expired,Retail Data,Generic Retailer,Snacks,Medium,Out of Stock,6,0.45,6,Soft Drinks,0.07,43.8,Medium,4037,Families,Low,Returning,West,ORD10000,5,50,Mumbai,Australia,Standard,0.5152899999999999,Candy & Gum,True,15.66809,Web,Low
Toronto,Generic Product,Beauty,UPI,Snacks,Negative,Mobile,Safari,MacOS,0.197.144.161,Email,-26.28567535414296,100.0,86.95252370147568,3.949222109095413,50.0,15.809549763904666,Beauty,274.78623657940364,554.5922454579821,54.92351542889382,High,2023-04-09,2,2,2,1,2023-10-14,149.402795,0,00:01:33,00:00:45,00:01:29,00:03:57,00:01:26,00:05:26,No,Credit card expired,Retail Data,Generic Retailer,Biscuits,Medium,In Stock,6,0.42,9,Bread,0.28,40.65,Low,2672,Families,High,Returning,West,ORD10000,5,50,Mumbai,Australia,Standard,0.5152899999999999,Candy & Gum,True,15.66809,Web,Low
Toronto,Generic Product,Beauty,UPI,Snacks,Negative,Mobile,Safari,MacOS,0.197.144.161,Email,-26.28567535414296,100.0,86.95252370147568,3.949222109095413,50.0,15.809549763904666,Beauty,274.78623657940364,554.5922454579821,54.92351542889382,High,2023-04-09,2,2,2,1,2023-04-18,149.402795,0,00:01:33,00:00:45,00:01:29,00:03:57,00:01:26,00:05:26,No,Credit card expired,Retail Data,Generic Retailer,Chocolate,High,In Stock,4,0.23,4,Soft Drinks,0.52,12.6,High,3761,Families,High,New,East,ORD10000,5,50,Mumbai,Australia,Standard,0.5152899999999999,Candy & Gum,True,15.66809,Web,Low
Toronto,Generic Product,Beauty,UPI,Snacks,Negative,Desktop,Safari,MacOS,0.197.144.161,Email,-26.28567535414296,100.0,86.95252370147568,3.949222109095413,50.0,15.809549763904666,Beauty,274.78623657940364,554.5922454579821,54.92351542889382,High,2023-04-09,2,2,2,1,2023-09-02,149.402795,0,00:01:33,00:00:45,00:01:29,00:03:57,00:01:26,00:05:26,No,Credit card expired,Retail Data,Generic Retailer,Chocolate,Low,In Stock,5,0.62,6,Soft Drinks,0.51,47.27,Low,1690,Families,Medium,Returning,East,ORD10000,5,50,Mumbai,Australia,Standard,0.5152899999999999,Candy & Gum,True,15.66809,Web,Low
Toronto,Generic Product,Beauty,UPI,Snacks,Negative,Mobile,Safari,MacOS,0.197.144.161,Email,-26.28567535414296,100.0,86.95252370147568,3.949222109095413,50.0,15.809549763904666,Beauty,274.78623657940364,554.5922454579821,54.92351542889382,High,2023-04-09,2,2,2,1,2023-11-26,149.402795,0,00:01:33,00:00:45,00:01:29,00:03:57,00:01:26,00:05:26,No,Credit card expired,Retail Data,Generic Retailer,Snacks,Low,In Stock,8,0.81,10,Bread,0.65,21.43,Medium,4214,Families,Medium,Loyal,North,ORD10000,5,50,Mumbai,Australia,Standard,0.5152899999999999,Candy & Gum,True,15.66809,Web,Low
Toronto,Generic Product,Beauty,UPI,Snacks,Negative,Mobile,Safari,MacOS,0.197.144.161,Email,-26.28567535414296,100.0,86.95252370147568,3.949222109095413,50.0,15.809549763904666,Beauty,274.78623657940364,554.5922454579821,54.92351542889382,High,2023-04-09,2,2,2,1,2023-02-22,149.402795,0,00:01:33,00:00:45,00:01:29,00:03:57,00:01:26,00:05:26,No,Credit card expired,Retail Data,Generic Retailer,Snacks,Low,Out of Stock,10,0.04,6,Soft Drinks,0.97,32.99,High,3416,Young Adults,High,Returning,West,ORD10000,5,50,Mumbai,Australia,Standard,0.5152899999999999,Candy & Gum,True,15.66809,Web,Low
Toronto,Generic Product,Beauty,UPI,Snacks,Negative,Mobile,Safari,MacOS,0.197.144.161,Email,-26.28567535414296,100.0,86.95252370147568,3.949222109095413,50.0,15.809549763904666,Beauty,274.78623657940364,554.5922454579821,54.92351542889382,High,2023-04-09,2,2,2,1,2023-08-10,149.402795,0,00:01:33,00:00:45,00:01:29,00:03:57,00:01:26,00:05:26,No,Credit card expired,Retail Data,Generic Retailer,Chocolate,High,In Stock,8,0.66,9,Bread,0.7,5.09,Low,1419,Young Adults,High,Loyal,South,ORD10000,5,50,Mumbai,Australia,Standard,0.5152899999999999,Candy & Gum,True,15.66809,Web,Low
Toronto,Generic Product,Beauty,UPI,Snacks,Negative,Mobile,Safari,MacOS,0.197.144.161,Email,-26.28567535414296,100.0,86.95252370147568,3.949222109095413,50.0,15.809549763904666,Beauty,274.78623657940364,554.5922454579821,54.92351542889382,High,2023-04-09,2,2,2,1,2023-06-17,149.402795,0,00:01:33,00:00:45,00:01:29,00:03:57,00:01:26,00:05:26,No,Credit card expired,Retail Data,Generic Retailer,Snacks,Low,In Stock,4,0.64,9,Bread,0.8,47.84,Medium,4902,Young Adults,Medium,Returning,North,ORD10000,5,50,Mumbai,Australia,Standard,0.5152899999999999,Candy & Gum,True,15.66809,Web,Low
Toronto,Generic Product,Beauty,UPI,Snacks,Negative,Mobile,Safari,MacOS,0.197.144.161,Email,-26.28567535414296,100.0,86.95252370147568,3.949222109095413,50.0,15.809549763904666,Beauty,274.78623657940364,554.5922454579821,54.92351542889382,High,2023-04-09,2,2,2,1,2023-04-15,149.402795,0,00:01:33,00:00:45,00:01:29,00:03:57,00:01:26,00:05:26,No,Credit card expired,Retail Data,Generic Retailer,Candy,Medium,In Stock,2,0.64,8,Bread,0.68,12.32,Low,3274,Young Adults,Low,New,South,ORD10000,5,50,Mumbai,Australia,Standard,0.5152899999999999,Candy & Gum,True,15.66809,Web,Low
Toronto,Generic Product,Beauty,UPI,Snacks,Negative,Mobile,Safari,MacOS,0.197.144.161,Email,-26.28567535414296,100.0,86.95252370147568,3.949222109095413,50.0,15.809549763904666,Beauty,274.78623657940364,554.5922454579821,54.92351542889382,High,2023-04-09,2,2,2,1,2023-10-08,149.402795,0,00:01:33,00:00:45,00:01:29,00:03:57,00:01:26,00:05:26,No,Credit card expired,Retail Data,Generic Retailer,Gum,Medium,In Stock,7,0.87,1,Snacks,0.79,29.37,Low,2317,Young Adults,Medium,New,West,ORD10000,5,50,Mumbai,Australia,Standard,0.5152899999999999,Candy & Gum,True,15.66809,Web,Low
Toronto,Generic Product,Beauty,UPI,Snacks,Negative,Desktop,Safari,MacOS,0.197.144.161,Email,-26.28567535414296,100.0,86.95252370147568,3.949222109095413,50.0,15.809549763904666,Beauty,274.78623657940364,554.5922454579821,54.92351542889382,High,2023-04-09,2,2,2,1,2023-06-22,149.402795,0,00:01:33,00:00:45,00:01:29,00:03:57,00:01:26,00:05:26,No,Credit card expired,Retail Data,Generic Retailer,Snacks,High,In Stock,3,0.48,5,Snacks,0.69,17.35,Low,1768,Families,Low,Returning,North,ORD10000,5,50,Mumbai,Australia,Standard,0.5152899999999999,Candy & Gum,True,15.66809,Web,Low
Toronto,Generic Product,Beauty,UPI,Snacks,Negative,Tablet,Safari,MacOS,0.197.144.161,Email,-26.28567535414296,100.0,86.95252370147568,3.949222109095413,50.0,15.809549763904666,Beauty,274.78623657940364,554.5922454579821,54.92351542889382,High,2023-04-09,2,2,2,1,2023-12-09,149.402795,0,00:01:33,00:00:45,00:01:29,00:03:57,00:01:26,00:05:26,No,Credit card expired,Retail Data,Generic Retailer,Chocolate,Medium,In Stock,7,0.88,7,Snacks,0.38,25.53,Low,1509,Families,High,Returning,East,ORD10000,5,50,Mumbai,Australia,Standard,0.5152899999999999,Candy & Gum,True,15.66809,Web,Low
Toronto,Generic Product,Beauty,UPI,Snacks,Negative,Desktop,Safari,MacOS,0.197.144.161,Email,-26.28567535414296,100.0,86.95252370147568,3.949222109095413,50.0,15.809549763904666,Beauty,274.78623657940364,554.5922454579821,54.92351542889382,High,2023-04-09,2,2,2,1,2023-12-07,149.402795,0,00:01:33,00:00:45,00:01:29,00:03:57,00:01:26,00:05:26,No,Credit card expired,Retail Data,Generic Retailer,Chocolate,Low,In Stock,4,0.03,9,Bread,0.28,30.74,Medium,2496,Seniors,Medium,New,East,ORD10000,5,50,Mumbai,Australia,Standard,0.5152899999999999,Candy & Gum,True,15.66809,Web,Low
Toronto,Generic Product,Beauty,UPI,Snacks,Negative,Mobile,Safari,MacOS,0.197.144.161,Email,-26.28567535414296,100.0,86.95252370147568,3.949222109095413,50.0,15.809549763904666,Beauty,274.78623657940364,554.5922454579821,54.92351542889382,High,2023-04-09,2,2,2,1,2023-10-17,149.402795,0,00:01:33,00:00:45,00:01:29,00:03:57,00:01:26,00:05:26,No,Credit card expired,Retail Data,Generic Retailer,Chocolate,Medium,In Stock,5,0.63,6,Soft Drinks,0.52,39.37,Medium,1897,Young Adults,Medium,Returning,South,ORD10000,5,50,Mumbai,Australia,Standard,0.5152899999999999,Candy & Gum,True,15.66809,Web,Low
